route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
3-VIC,4745,11519095:11406470:12889850,to Downtown only,21597,12889850,0
64-VIC,4744,11243294:11408265:12891032,East Sooke,19146,12891032,0
53-VIC,4744,11243557:11408300:12890566,Vic General via Atkins,45340,12890566,0
25-VIC,5070,11348128:11408814:12888462,to Downtown only,45235,12888462,0
27-VIC,4744,11375501:11410746:12889239,to McKenzie only via Shelbourne,19182,12889239,1
27-VIC,5066,11375501:11410746:12890721,to McKenzie only via Shelbourne,19182,12890721,1
27-VIC,4737,11375501:11410746:12891694,to McKenzie only via Shelbourne,19182,12891694,1
52-VIC,4744,11223279:11412117:12890422,Langford Exch via Royal Bay,39925,12890422,1
53-VIC,4745,11519179:11413258:12888980,Vic General via Atkins,45034,12888980,0
22-VIC,4487,11550666:11414376:12889452,to Downtown only via Hastings,19316,12889452,1
27-VIC,5070,11340469:11415072:12889433,to Hillside only via Shelbourne,45400,12889433,1
53-VIC,4487,11550776:11415256:12891642,Vic General via Atkins,45034,12891642,0
61-VIC,4744,11304997:11415727:12888443,Sooke - to Town Centre only,45240,12888443,1
61-VIC,5066,11304997:11415727:12889176,Sooke - to Town Centre only,45240,12889176,1
61-VIC,4737,11304997:11415727:12890894,Sooke - to Town Centre only,45240,12890894,1
53-VIC,4487,11550772:11415833:12890206,Vic General via Atkins,45340,12890206,0
53-VIC,4487,11550773:11415927:12891650,Vic General via Atkins,45340,12891650,0
28-VIC,5070,11340468:11416053:12890407,to Hillside only via Shelbourne,44882,12890407,1
53-VIC,4744,11243481:11417760:12890807,Vic General via Atkins,45034,12890807,0
53-VIC,4745,11519300:11418146:12889387,Vic General via Atkins,45340,12889387,0
3-VIC,4744,11223090:11418636:12889779,to Downtown only,21597,12889779,0
53-VIC,4744,11243483:11419307:12890807,Vic General via Atkins,45340,12890807,0
53-VIC,4745,11519213:11419552:12889967,Vic General via Atkins,45340,12889967,0
64-VIC,4744,11243446:11420071:12890912,East Sooke,19172,12890912,0
52-VIC,4744,11223298:11422150:12888873,Langford Exch via Royal Bay,40066,12888873,1
25-VIC,5066,11385138:11422224:12888488,to Downtown only,45235,12888488,0
25-VIC,4744,11385138:11422224:12890290,to Downtown only,45235,12890290,0
25-VIC,4737,11385138:11422224:12891062,to Downtown only,45235,12891062,0
28-VIC,4737,11375504:11422620:12889621,to McKenzie only via Shelbourne,36384,12889621,1
28-VIC,4744,11375504:11422620:12889673,to McKenzie only via Shelbourne,36384,12889673,1
28-VIC,5066,11375504:11422620:12890093,to McKenzie only via Shelbourne,36384,12890093,1
61-VIC,4737,11305004:11424769:12889862,Sooke - to Town Centre only,45240,12889862,1
61-VIC,4744,11305004:11424769:12890198,Sooke - to Town Centre only,45240,12890198,1
61-VIC,5066,11305004:11424769:12890940,Sooke - to Town Centre only,45240,12890940,1
22-VIC,5066,11303717:11426228:12889245,to Downtown only,36467,12889245,0
22-VIC,4744,11303717:11426228:12889414,to Downtown only,36467,12889414,0
22-VIC,4737,11303717:11426228:12891409,to Downtown only,36467,12891409,0
22A-VIC,4737,11303598:11426697:12889263,to Downtown only via Strawberry Vale,39955,12889263,1
22A-VIC,4949,11303598:11426697:12891143,to Downtown only via Strawberry Vale,39955,12891143,1
22-VIC,4487,11550635:11428149:12888930,to Downtown only,36467,12888930,0
53-VIC,4744,11243510:11428456:12890566,Vic General via Atkins,45340,12890566,0
52-VIC,4487,11550638:11428474:12889289,Langford Exch via Royal Bay,39925,12889289,1
27-VIC,4737,11375534:11428876:12890244,to Hillside only via Shelbourne,45400,12890244,1
27-VIC,4745,11518636:11428957:12888825,to Hillside only via Shelbourne,45400,12888825,1
64-VIC,4744,11243425:11429198:12890566,East Sooke,18532,12890566,0
53-VIC,4487,11550778:11429450:12891686,Vic General via Atkins,45340,12891686,0
28-VIC,4737,11375527:11430875:12888489,to Hillside only via Shelbourne,44882,12888489,1
27-VIC,5072,11340661:11431508:12890352,to Hillside only via Shelbourne,45400,12890352,1
53-VIC,4487,11550774:11432060:12890236,Vic General via Atkins,45340,12890236,0
53-VIC,4745,11519235:11432293:12888980,Vic General via Atkins,45340,12888980,0
52-VIC,4744,11557449:11432768:12890781,Langford Exch via Royal Bay,40066,12890781,1
53-VIC,4744,11243342:11435596:12890725,Vic General via Atkins,45034,12890725,0
22-VIC,4737,11303681:11436015:12888436,to Downtown only,36467,12888436,0
22-VIC,4744,11303681:11436015:12889943,to Downtown only,36467,12889943,0
22-VIC,5066,11303681:11436015:12891237,to Downtown only,36467,12891237,0
28-VIC,5070,11340466:11437095:12890934,to Hillside only via Shelbourne,44882,12890934,1
8-VIC,4744,11359295:11438390:12889234,to Hillside only,44971,12889234,0
8-VIC,5066,11359295:11438390:12891243,to Hillside only,44971,12891243,0
8-VIC,4737,11359295:11438390:12891669,to Hillside only,44971,12891669,0
10-VIC,4745,11519089:11438499:12890446,to Vic West only,18668,12890446,1
28-VIC,4737,11375536:11439012:12891362,to Hillside only via Shelbourne,44882,12891362,1
61-VIC,5066,11305026:11439232:12888447,Sooke - to Town Centre only,45240,12888447,1
61-VIC,4744,11305026:11439232:12889165,Sooke - to Town Centre only,45240,12889165,1
61-VIC,4737,11305026:11439232:12890856,Sooke - to Town Centre only,45240,12890856,1
27-VIC,5070,11340467:11439960:12889223,to Hillside only via Shelbourne,45400,12889223,1
22-VIC,4487,11550668:11440239:12891388,to Downtown only,36467,12891388,0
31-VIC,5070,11304020:11441535:12891184,to Gorge only via Glanford,18734,12891184,1
58-VIC,4744,11243588:11441833:12890287,to Westhills Exch only,45256,12890287,1
53-VIC,4487,11550775:11442060:12891250,Vic General via Atkins,45034,12891250,0
